Connect - Type,Connect - Stage,Quando usar,Regras de preenchimento da “Subject”,Outras features habilitadas no Connect
Connection to EE’s Team,EE,"Quando acontece uma conexão focada em resolver um desafio da pessoa do time da empresa apoida, que não seja o EE (C-level, Diretoria, etc).","One liner sobre o que é aquela conexão. Idealmente trazer um contexto adicional do desafio, o grande tema da mentoria. ","Entreprenuer's Priorities - Related Meeting, Keywords Criteria Filters Search, Mentor’s Profile Model (Last Meetings)"
EE Advisory Board Meeting,EE,,"Se for Comitê:
[Comitê Estratégico]","Entreprenuer's Priorities - Related Meeting, Keywords Criteria Filters Search, Mentor’s Profile Model (Last Meetings)"
2nd Opinion Review,EE Selection,"Etapa do processo de seleção de EE, com o objetivo de identificar, a partir dos critérios da Endeavor, se a empresa está apta para seguir para a próxima etapa de seleção, o Painel Local. ",,"Entreprenuer's Priorities - Related Meeting, Keywords Criteria Filters Search, Mentor’s Profile Model (Last Meetings), Send Rating"
Financial Review,EE Selection,"Etapa do processo de seleção de EE, com foco nas métricas financeiras da empresa.",,"Entreprenuer's Priorities - Related Meeting, Keywords Criteria Filters Search, Mentor’s Profile Model (Last Meetings), Send Rating"
Legal Due Dilligence,EE Selection,,,"Entreprenuer's Priorities - Related Meeting, Keywords Criteria Filters Search, Mentor’s Profile Model (Last Meetings)"
Global Review,EE Selection,,,
Local Review,EE Selection,,,
LSP,EE Selection,,,
ISP Interviews,EE Selection,,,
ISP Deliberation,EE Selection,,,
,,,,
